"","Temperature.C","Specific.Growth.Rate.g.g.d"
"1",4.86206896551724,-0.000272488793362236
"2",4.82758620689655,-0.000317691414163531
"3",4.79310344827586,-0.000362636898537332
"4",4.75862068965517,-0.000407321659871698
"5",4.72413793103448,-0.000451742203368597
"6",4.68965517241379,-0.000495895126498897
"7",4.6551724137931,-0.000539777119491347
"8",4.62068965517241,-0.000583384965977914
"9",4.58620689655172,-0.000626715543153333
"10",4.55172413793103,-0.000669765822369114
"11",4.51724137931035,-0.000712532869121131
"12",4.48275862068965,-0.000755013843543387
"13",4.44827586206897,-0.000797206000403793
"14",4.41379310344828,-0.000839106689305935
"15",4.37931034482759,-0.000880713354664772
"16",4.3448275862069,-0.000922023535814574
"17",4.31034482758621,-0.000963034866866115
"18",4.27586206896552,-0.00100374507663922
"19",4.24137931034483,-0.00104415198848325
"20",4.20689655172414,-0.00108425352023579
"21",4.17241379310345,-0.00112404768366592
"22",4.13793103448276,-0.00116353258446836
"23",4.10344827586207,-0.00120270642180785
"24",4.06896551724138,-0.00124156748786807
"25",4.03448275862069,-0.00128011416757388
"26",4,-0.00131834493793798
"27",4.08333333333333,-0.00122390210361307
"28",4.16666666666667,-0.00112746432055859
"29",4.25,-0.00102908313072455
"30",4.33333333333333,-0.000928815389943726
"31",4.41666666666667,-0.000826723289429255
"32",4.5,-0.000722874356954236
"33",4.58333333333333,-0.000617341436186381
"34",4.66666666666667,-0.000510202643456782
"35",4.75,-0.000401541301155902
"36",4.83333333333333,-0.00029144584712924
"37",4.91666666666667,-0.000180009719548745
"38",5,-6.73312170945553e-05
"39",5.08333333333333,4.64866657346962e-05
"40",5.16666666666667,0.00016133642791393
"41",5.25,0.00027710627580874
"42",5.33333333333333,0.00039368036060838
"43",5.41666666666667,0.000510939038953626
"44",5.5,0.000628759155808833
"45",5.58333333333333,0.000747014347981241
"46",5.66666666666667,0.000865575367264672
"47",5.75,0.000984310421620318
"48",5.83333333333333,0.00110308553233287
"49",5.91666666666667,0.0012217649053764
"50",6,0.00134021131513785
"51",6.08333333333333,0.00145828649775568
"52",6.16666666666667,0.00157585155212306
"53",6.25,0.0016927673460997
"54",6.33333333333333,0.00180889492520201
"55",6.41666666666667,0.00192409592155862
"56",6.5,0.00203823296040457
"57",6.58333333333333,0.00215117006163031
"58",6.66666666666667,0.0022627730338347
"59",6.75,0.00237290985874654
"60",6.83333333333333,0.00248145106344224
"61",6.91666666666667,0.00258827007804153
"62",7,0.00269324357732829
"63",7.08333333333333,0.00279625180387256
"64",7.16666666666667,0.00289717887126179
"65",7.25,0.00299591304564725
"66",7.33333333333333,0.00309234700453207
"67",7.41666666666667,0.0031863780716226
"68",7.5,0.00327790842659395
"69",7.58333333333333,0.00336684528949068
"70",7.66666666666667,0.0034531010788758
"71",7.75,0.00353659354397133
"72",7.83333333333333,0.00361724587027323
"73",7.91666666666667,0.00369498675918465
"74",8,0.00376975048187016
"75",8.08333333333333,0.00384147690789787
"76",8.16666666666667,0.00391011150948841
"77",8.25,0.00397560534206869
"78",8.33333333333333,0.00403791500258871
"79",8.41666666666667,0.00409700256609436
"80",8.5,0.00415283550244453
"81",8.58333333333333,0.00420538657399921
"82",8.66666666666667,0.00425463371626497
"83",8.75,0.00430055990223902
"84",8.83333333333333,0.00434315299272387
"85",8.91666666666667,0.00438240557349703
"86",9,0.00441831478126261
"87",9.16666666666667,0.00449095457360241
"88",9.33333333333333,0.0046026034149777
"89",9.5,0.00470263653828889
"90",9.66666666666667,0.0047910291278545
"91",9.83333333333333,0.00486780699127882
"92",10,0.00493304142370033
"93",10.1666666666667,0.00498684399875569
"94",10.3333333333333,0.00502936138840759
"95",10.5,0.00506077029980526
"96",10.6666666666667,0.00508127260108117
"97",10.8333333333333,0.00509109069340787
"98",11,0.00509046317231916
"99",11.1666666666667,0.00507964080869286
"100",11.3333333333333,0.00505888286747742
"101",11.5,0.00502845377347287
"102",11.6666666666667,0.0049886201238286
"103",11.8333333333333,0.00493964804087859
"104",12,0.00488180085285929
"105",12.1666666666667,0.00481533708613126
"106",12.3333333333333,0.00474050874957543
